nom_cgp,formule,annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,aj_comprise
ORBATEOR REUNION,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
ORBATEOR REUNION,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
ORBATEOR REUNION,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
ORBATEOR REUNION,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
VALORIAL,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
VALORIAL,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
VALORIAL,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
VALORIAL,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
A.I.C PATRIMOINE,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
A.I.C PATRIMOINE,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
A.I.C PATRIMOINE,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
A.I.C PATRIMOINE,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
VYP FINANCE,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
VYP FINANCE,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
VYP FINANCE,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
VYP FINANCE,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
MAGAIA PATRIMOINE,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
MAGAIA PATRIMOINE,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
MAGAIA PATRIMOINE,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
MAGAIA PATRIMOINE,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
JBA AUDIT & CONSEIL,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
JBA AUDIT & CONSEIL,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
JBA AUDIT & CONSEIL,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
JBA AUDIT & CONSEIL,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
GLOBAL PATRIMOINE,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
GLOBAL PATRIMOINE,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
GLOBAL PATRIMOINE,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
GLOBAL PATRIMOINE,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
VALEURS PARTAGEES,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
VALEURS PARTAGEES,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
VALEURS PARTAGEES,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
VALEURS PARTAGEES,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
ADP CONSEIL,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
ADP CONSEIL,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
ADP CONSEIL,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
ADP CONSEIL,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
ATOUT CONFIANCE,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
ATOUT CONFIANCE,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
ATOUT CONFIANCE,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
ATOUT CONFIANCE,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
EMMANUEL DUGAS DU VILLARD CONSEIL,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
EMMANUEL DUGAS DU VILLARD CONSEIL,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
EMMANUEL DUGAS DU VILLARD CONSEIL,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
EMMANUEL DUGAS DU VILLARD CONSEIL,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
GLOBAL FINANCES ASSURANCES,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,1
GLOBAL FINANCES ASSURANCES,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,1
GLOBAL FINANCES ASSURANCES,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,1
GLOBAL FINANCES ASSURANCES,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,1
PATRIMOINE OFFICE REUNION,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
PATRIMOINE OFFICE REUNION,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
PATRIMOINE OFFICE REUNION,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
PATRIMOINE OFFICE REUNION,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
CEGEP,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
CEGEP,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
CEGEP,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
CEGEP,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
APF CONSEILS,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
APF CONSEILS,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
APF CONSEILS,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
APF CONSEILS,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
EURL JADOT,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
EURL JADOT,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
EURL JADOT,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
EURL JADOT,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
FINANCIERE DES LYS,confort,2019,25,25,25,23,23,23,21,21,21,19,19,19,0
FINANCIERE DES LYS,confort-echelonne,2019,23,23,23,21,21,21,19,19,19,17,17,17,0
FINANCIERE DES LYS,serenite,2019,22,22,22,20,20,20,18,18,18,16,16,16,0
FINANCIERE DES LYS,serenite-echelonne,2019,20,20,20,18,18,18,16,16,16,14,14,14,0
OPES PATRIMOINE,confort,2019,"26,6","26,6","26,6","23,6","23,6","23,6","22,6","22,6","21,6","21,6","21,6","21,6",0
OPES PATRIMOINE,confort-echelonne,2019,"24,6","24,6","24,6","21,6","21,6","21,6","20,6","20,6","19,6","19,6","19,6","19,6",0
OPES PATRIMOINE,serenite,2019,"23,6","23,6","23,6","20,6","20,6","20,6","19,6","19,6","18,6","18,6","18,6","18,6",0
OPES PATRIMOINE,serenite-echelonne,2019,"21,6","21,6","21,6","18,6","18,6","18,6","17,6","17,6","16,6","16,6","16,6","16,6",0